customer_id,total_revenue,order_count,segment
14646,280206.02,73,High-Value (VIP)
18102,259657.3,60,High-Value (VIP)
17450,194550.79,46,High-Value (VIP)
16446,168472.5,2,High-Value (VIP)
14911,143825.06,201,High-Value (VIP)
12415,124914.53,21,High-Value (VIP)
14156,117379.63,55,High-Value (VIP)
17511,91062.38,31,High-Value (VIP)
16029,81024.84,63,High-Value (VIP)
12346,77183.6,1,High-Value (VIP)
16684,66653.56,28,High-Value (VIP)
14096,65164.79,17,High-Value (VIP)
13694,65039.62,50,High-Value (VIP)
15311,60767.9,91,High-Value (VIP)
13089,58825.83,97,High-Value (VIP)
17949,58510.48,45,High-Value (VIP)
15769,56252.72,26,High-Value (VIP)
15061,54534.14,48,High-Value (VIP)
14298,51527.3,44,High-Value (VIP)
14088,50491.81,13,High-Value (VIP)
15749,44534.3,3,High-Value (VIP)
12931,42055.96,15,High-Value (VIP)
17841,40991.57,124,High-Value (VIP)
15098,39916.5,3,High-Value (VIP)
13798,37153.85,57,High-Value (VIP)
16013,37130.6,47,High-Value (VIP)
16422,34684.4,51,High-Value (VIP)
12748,33719.73,209,High-Value (VIP)
15838,33643.08,19,High-Value (VIP)
17404,31906.82,15,High-Value (VIP)
17389,31833.68,34,High-Value (VIP)
13098,28882.44,28,High-Value (VIP)
14680,28754.11,16,High-Value (VIP)
13081,28337.38,11,High-Value (VIP)
13408,28117.04,62,High-Value (VIP)
17857,26879.04,23,High-Value (VIP)
16333,26626.8,22,High-Value (VIP)
13777,25977.16,33,High-Value (VIP)
12753,21429.39,6,High-Value (VIP)
12744,21279.29,7,High-Value (VIP)
16210,21086.3,18,High-Value (VIP)
17675,20374.28,31,High-Value (VIP)
17381,20275.61,29,High-Value (VIP)
15039,19914.44,47,High-Value (VIP)
12471,19824.05,30,High-Value (VIP)
12731,18895.91,12,High-Value (VIP)
15159,18641.010000000002,30,High-Value (VIP)
12901,17654.54,28,High-Value (VIP)
12678,17628.46,12,High-Value (VIP)
14031,17286.86,19,High-Value (VIP)
17428,17256.85,28,High-Value (VIP)
13767,17220.36,37,High-Value (VIP)
13881,17159.52,20,High-Value (VIP)
16839,16594.35,34,High-Value (VIP)
12921,16587.09,37,High-Value (VIP)
14607,16569.5,14,High-Value (VIP)
15856,16387.57,27,High-Value (VIP)
17677,16363.23,30,High-Value (VIP)
15189,16225.39,41,High-Value (VIP)
14051,15610.390000000001,23,High-Value (VIP)
15513,14758.220000000001,19,High-Value (VIP)
16133,14589.04,33,High-Value (VIP)
14866,14389.9,12,High-Value (VIP)
16705,14034.99,20,High-Value (VIP)
12681,13787.54,22,High-Value (VIP)
12621,13689.67,20,High-Value (VIP)
12540,13400.24,17,High-Value (VIP)
12433,13375.87,7,High-Value (VIP)
15498,13316.4,27,High-Value (VIP)
12477,13219.74,6,High-Value (VIP)
17735,13110.02,19,High-Value (VIP)
16525,13027.45,26,High-Value (VIP)
14258,12669.98,9,High-Value (VIP)
13078,12627.94,26,High-Value (VIP)
12536,12601.830000000002,3,High-Value (VIP)
15640,12515.66,15,High-Value (VIP)
16000,12393.7,3,High-Value (VIP)
17340,12353.29,11,High-Value (VIP)
12682,12288.22,31,High-Value (VIP)
13113,12245.960000000001,24,High-Value (VIP)
14606,12156.65,93,High-Value (VIP)
12557,11990.960000000001,5,High-Value (VIP)
12939,11581.8,8,High-Value (VIP)
15125,11528.48,15,High-Value (VIP)
14194,11349.52,21,High-Value (VIP)
12971,11189.91,86,High-Value (VIP)
14895,11138.710000000001,20,High-Value (VIP)
12409,11072.67,3,High-Value (VIP)
15482,11054.96,12,High-Value (VIP)
17581,11045.04,25,High-Value (VIP)
13319,10845.550000000001,26,High-Value (VIP)
17107,10815.43,6,High-Value (VIP)
13340,10736.48,7,High-Value (VIP)
14769,10674.75,8,High-Value (VIP)
17139,10668.47,12,High-Value (VIP)
16779,10629.720000000001,22,High-Value (VIP)
17865,10526.32,20,High-Value (VIP)
17706,10504.49,17,High-Value (VIP)
15251,10484.99,11,High-Value (VIP)
14062,10464.85,12,High-Value (VIP)
15615,10399.74,23,High-Value (VIP)
15502,10384.93,12,High-Value (VIP)
16180,10254.18,8,High-Value (VIP)
16843,10196.57,16,High-Value (VIP)
12590,9864.26,2,High-Value (VIP)
13001,9818.82,13,High-Value (VIP)
13199,9817.12,38,High-Value (VIP)
15078,9743.11,32,High-Value (VIP)
12709,9736.52,15,High-Value (VIP)
13458,9646.57,14,High-Value (VIP)
14733,9585.91,12,High-Value (VIP)
16523,9418.470000000001,21,High-Value (VIP)
12567,9401.28,10,High-Value (VIP)
14367,9261.52,16,High-Value (VIP)
14667,9241.2,25,High-Value (VIP)
18092,9068.26,11,High-Value (VIP)
13969,9053.94,18,High-Value (VIP)
12451,9035.52,5,High-Value (VIP)
13488,8968.31,13,High-Value (VIP)
13090,8910.82,14,High-Value (VIP)
16033,8816.4,20,High-Value (VIP)
17017,8694.26,20,High-Value (VIP)
17243,8676.85,26,High-Value (VIP)
17306,8631.31,19,High-Value (VIP)
16656,8625.8,15,High-Value (VIP)
14527,8508.82,55,High-Value (VIP)
12683,8476.57,15,High-Value (VIP)
18139,8438.34,6,High-Value (VIP)
15358,8347.2,22,High-Value (VIP)
16558,8338.49,20,High-Value (VIP)
14056,8214.65,23,High-Value (VIP)
14936,8137.02,8,High-Value (VIP)
16672,8134.9400000000005,20,High-Value (VIP)
13854,8109.5199999999995,25,High-Value (VIP)
14952,8099.49,11,High-Value (VIP)
18109,8052.97,26,High-Value (VIP)
14796,8022.49,17,High-Value (VIP)
12428,7956.46,9,High-Value (VIP)
15290,7943.22,18,High-Value (VIP)
14849,7930.54,25,High-Value (VIP)
12757,7857.1,13,High-Value (VIP)
17811,7837.7300000000005,39,High-Value (VIP)
13093,7832.47,8,High-Value (VIP)
12435,7829.89,2,High-Value (VIP)
13629,7792.36,11,High-Value (VIP)
15044,7700.2300000000005,17,High-Value (VIP)
15194,7616.53,15,High-Value (VIP)
18172,7561.68,20,High-Value (VIP)
13263,7454.07,35,High-Value (VIP)
12474,7375.79,18,High-Value (VIP)
12980,7374.900000000001,9,High-Value (VIP)
15465,7354.62,18,High-Value (VIP)
17396,7330.8,8,High-Value (VIP)
12583,7281.38,15,High-Value (VIP)
13018,7277.7,28,High-Value (VIP)
18229,7276.900000000001,20,High-Value (VIP)
16923,7247.61,19,High-Value (VIP)
16729,7239.92,21,High-Value (VIP)
16745,7194.3,17,High-Value (VIP)
16873,7123.62,6,High-Value (VIP)
13324,7121.95,10,High-Value (VIP)
13985,7060.13,15,High-Value (VIP)
14961,7044.68,9,High-Value (VIP)
12766,6989.63,7,High-Value (VIP)
12798,6977.04,3,High-Value (VIP)
12989,6924.110000000001,15,High-Value (VIP)
16713,6923.13,15,High-Value (VIP)
13027,6912.0,6,High-Value (VIP)
16187,6911.4400000000005,15,High-Value (VIP)
17416,6893.42,7,High-Value (VIP)
12705,6868.29,9,High-Value (VIP)
12476,6816.42,11,High-Value (VIP)
12830,6814.64,6,High-Value (VIP)
15023,6802.76,11,High-Value (VIP)
18055,6784.1900000000005,10,High-Value (VIP)
15601,6776.56,14,High-Value (VIP)
16652,6773.97,7,High-Value (VIP)
16532,6748.8,3,High-Value (VIP)
13576,6717.34,18,High-Value (VIP)
16746,6697.66,18,High-Value (VIP)
15249,6688.46,13,High-Value (VIP)
16353,6675.71,23,High-Value (VIP)
17338,6643.93,8,High-Value (VIP)
12626,6620.48,9,High-Value (VIP)
16182,6617.65,4,High-Value (VIP)
15144,6580.44,17,High-Value (VIP)
12472,6572.11,7,High-Value (VIP)
16814,6509.1,21,High-Value (VIP)
12431,6487.45,15,High-Value (VIP)
18223,6484.54,14,High-Value (VIP)
15694,6479.4,14,High-Value (VIP)
13225,6463.84,7,High-Value (VIP)
13102,6424.09,24,High-Value (VIP)
13871,6403.25,13,High-Value (VIP)
12359,6372.58,4,High-Value (VIP)
13668,6363.59,21,High-Value (VIP)
13709,6328.05,13,High-Value (VIP)
15005,6316.57,28,High-Value (VIP)
17315,6292.26,38,High-Value (VIP)
16126,6287.77,4,High-Value (VIP)
14057,6217.96,17,High-Value (VIP)
12357,6207.67,1,High-Value (VIP)
14060,6140.42,19,High-Value (VIP)
13418,6127.43,18,High-Value (VIP)
17509,6115.14,8,High-Value (VIP)
15939,6115.01,15,High-Value (VIP)
14735,6065.69,32,High-Value (VIP)
12637,6021.9,8,High-Value (VIP)
13097,6010.42,10,High-Value (VIP)
13316,5977.7300000000005,4,High-Value (VIP)
14101,5976.79,6,High-Value (VIP)
15382,5955.71,6,High-Value (VIP)
14505,5905.64,8,High-Value (VIP)
14415,5900.28,13,High-Value (VIP)
14944,5900.25,12,High-Value (VIP)
13209,5891.61,8,High-Value (VIP)
13534,5870.08,25,High-Value (VIP)
13050,5836.86,17,High-Value (VIP)
12720,5781.73,25,High-Value (VIP)
15218,5756.89,11,High-Value (VIP)
17686,5739.46,7,High-Value (VIP)
13178,5725.47,11,High-Value (VIP)
16553,5719.82,12,High-Value (VIP)
13468,5704.97,37,High-Value (VIP)
14110,5683.15,12,High-Value (VIP)
14049,5681.72,4,High-Value (VIP)
17049,5659.9800000000005,9,High-Value (VIP)
17716,5655.99,11,High-Value (VIP)
13004,5655.91,18,High-Value (VIP)
18118,5653.82,26,High-Value (VIP)
14688,5630.87,21,High-Value (VIP)
17757,5605.29,30,High-Value (VIP)
12481,5596.32,10,High-Value (VIP)
12839,5591.42,14,High-Value (VIP)
16767,5580.6,11,High-Value (VIP)
16161,5575.56,19,High-Value (VIP)
12539,5568.35,4,High-Value (VIP)
15805,5528.4800000000005,17,High-Value (VIP)
18225,5509.12,12,High-Value (VIP)
16609,5493.46,7,High-Value (VIP)
16985,5464.12,10,High-Value (VIP)
16265,5447.0,9,High-Value (VIP)
18198,5425.56,17,High-Value (VIP)
12490,5417.93,10,High-Value (VIP)
17809,5411.91,12,High-Value (VIP)
16701,5398.3,13,High-Value (VIP)
17719,5396.04,15,High-Value (VIP)
17850,5391.21,34,High-Value (VIP)
16303,5360.63,3,High-Value (VIP)
13269,5346.2300000000005,15,High-Value (VIP)
15150,5314.47,10,High-Value (VIP)
17730,5298.4800000000005,13,High-Value (VIP)
17061,5232.2300000000005,11,High-Value (VIP)
18226,5228.05,11,High-Value (VIP)
12362,5226.23,10,High-Value (VIP)
15046,5213.7699999999995,15,High-Value (VIP)
16258,5203.51,5,High-Value (VIP)
13756,5189.52,14,High-Value (VIP)
16191,5180.52,13,High-Value (VIP)
15727,5178.96,7,High-Value (VIP)
17858,5155.66,12,High-Value (VIP)
13599,5153.67,21,High-Value (VIP)
15903,5126.76,7,High-Value (VIP)
13941,5112.96,5,High-Value (VIP)
17602,5102.97,6,High-Value (VIP)
16700,5076.55,13,High-Value (VIP)
14562,5074.77,18,High-Value (VIP)
15301,5070.35,12,High-Value (VIP)
13139,5064.94,7,High-Value (VIP)
12432,5059.32,5,High-Value (VIP)
15719,5045.61,13,High-Value (VIP)
17426,5037.26,6,High-Value (VIP)
14329,5014.84,7,High-Value (VIP)
14755,5010.28,11,High-Value (VIP)
12444,5005.46,5,High-Value (VIP)
15032,4959.1,3,High-Value (VIP)
15547,4954.84,14,High-Value (VIP)
12437,4951.41,18,High-Value (VIP)
12700,4939.99,4,High-Value (VIP)
15786,4932.2,3,High-Value (VIP)
14709,4921.04,13,High-Value (VIP)
17133,4892.240000000001,7,High-Value (VIP)
12664,4881.88,9,High-Value (VIP)
12688,4873.8099999999995,1,High-Value (VIP)
14292,4871.93,9,High-Value (VIP)
17652,4867.72,12,High-Value (VIP)
15738,4812.42,16,High-Value (VIP)
13013,4810.9400000000005,13,High-Value (VIP)
15555,4805.17,16,High-Value (VIP)
17365,4801.56,8,High-Value (VIP)
15298,4799.9,12,High-Value (VIP)
15187,4777.18,16,High-Value (VIP)
17690,4757.95,15,High-Value (VIP)
12955,4757.16,11,High-Value (VIP)
14180,4748.52,25,High-Value (VIP)
15152,4745.69,13,High-Value (VIP)
16722,4730.81,13,High-Value (VIP)
12714,4708.86,5,High-Value (VIP)
14159,4693.01,11,High-Value (VIP)
14135,4690.31,15,High-Value (VIP)
14191,4684.76,13,High-Value (VIP)
15291,4668.3,15,High-Value (VIP)
14189,4654.08,15,High-Value (VIP)
14390,4652.82,9,High-Value (VIP)
14286,4628.75,3,High-Value (VIP)
16931,4604.22,21,High-Value (VIP)
13802,4599.42,3,High-Value (VIP)
15093,4597.02,6,High-Value (VIP)
14004,4582.64,7,High-Value (VIP)
17613,4559.150000000001,14,High-Value (VIP)
17068,4552.14,21,High-Value (VIP)
12484,4541.72,6,High-Value (VIP)
13267,4521.49,19,High-Value (VIP)
15299,4507.01,7,High-Value (VIP)
17975,4488.81,13,High-Value (VIP)
12524,4485.72,8,High-Value (VIP)
14426,4481.67,10,High-Value (VIP)
16984,4481.35,2,High-Value (VIP)
17364,4481.18,11,High-Value (VIP)
12627,4478.53,7,High-Value (VIP)
14085,4448.54,18,High-Value (VIP)
14534,4447.05,18,High-Value (VIP)
13069,4436.12,24,High-Value (VIP)
15955,4416.26,14,High-Value (VIP)
16626,4413.1,17,High-Value (VIP)
15874,4405.88,7,High-Value (VIP)
12712,4396.13,13,High-Value (VIP)
13505,4393.63,4,High-Value (VIP)
12752,4366.78,1,High-Value (VIP)
16945,4345.5,19,High-Value (VIP)
14016,4341.21,4,High-Value (VIP)
14800,4339.74,12,High-Value (VIP)
14525,4332.2,9,High-Value (VIP)
17567,4331.48,8,High-Value (VIP)
18251,4314.72,1,High-Value (VIP)
12347,4310.0,7,High-Value (VIP)
15034,4308.61,8,High-Value (VIP)
17937,4301.22,7,High-Value (VIP)
14422,4263.64,6,High-Value (VIP)
12500,4257.82,11,High-Value (VIP)
17419,4226.57,12,High-Value (VIP)
14277,4216.2,3,High-Value (VIP)
15804,4206.39,13,High-Value (VIP)
17920,4204.1,17,High-Value (VIP)
15971,4199.85,12,High-Value (VIP)
12747,4196.01,11,High-Value (VIP)
14146,4191.0,5,High-Value (VIP)
18041,4183.39,21,High-Value (VIP)
12949,4167.22,8,High-Value (VIP)
15570,4165.52,12,High-Value (VIP)
16549,4154.64,10,High-Value (VIP)
13384,4151.93,7,High-Value (VIP)
13555,4149.28,4,High-Value (VIP)
13988,4147.96,6,High-Value (VIP)
15514,4139.46,11,High-Value (VIP)
12569,4124.69,32,High-Value (VIP)
16592,4113.68,16,High-Value (VIP)
17940,4106.4400000000005,10,High-Value (VIP)
17377,4100.92,20,High-Value (VIP)
16401,4098.32,12,High-Value (VIP)
16670,4095.9,11,High-Value (VIP)
12749,4090.88,5,High-Value (VIP)
14092,4076.91,14,High-Value (VIP)
12449,4067.29,4,High-Value (VIP)
18087,4055.7199999999993,2,High-Value (VIP)
14401,4051.48,13,High-Value (VIP)
12656,4051.17,5,High-Value (VIP)
12867,4036.82,7,High-Value (VIP)
13815,4027.36,4,High-Value (VIP)
12841,4022.35,25,High-Value (VIP)
12957,4017.54,8,High-Value (VIP)
12378,4008.62,1,High-Value (VIP)
14547,4007.54,8,High-Value (VIP)
16186,4006.94,12,High-Value (VIP)
17769,3997.98,10,High-Value (VIP)
15529,3995.23,11,High-Value (VIP)
17001,3989.57,11,High-Value (VIP)
15416,3984.32,4,High-Value (VIP)
17611,3984.22,15,High-Value (VIP)
12779,3981.36,8,High-Value (VIP)
12727,3980.7,7,High-Value (VIP)
14299,3965.62,9,High-Value (VIP)
13523,3964.88,5,High-Value (VIP)
13183,3957.78,9,High-Value (VIP)
17651,3945.0,10,High-Value (VIP)
12473,3938.5499999999997,5,High-Value (VIP)
17593,3927.34,5,High-Value (VIP)
14739,3902.28,7,High-Value (VIP)
13999,3901.81,12,High-Value (VIP)
14291,3883.25,11,High-Value (VIP)
18073,3877.5200000000004,12,High-Value (VIP)
13124,3866.33,3,High-Value (VIP)
15195,3861.0,1,High-Value (VIP)
16717,3858.38,6,High-Value (VIP)
12662,3849.78,11,High-Value (VIP)
16327,3844.22,6,High-Value (VIP)
13266,3834.2599999999998,12,High-Value (VIP)
17091,3827.76,9,High-Value (VIP)
15867,3812.64,15,High-Value (VIP)
12755,3811.95,2,High-Value (VIP)
